1.3870 	WARNING 	Movie2 stim could not be imported and won't be available
6.0258 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x04A278C8>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0259 	EXP 	window1: recordFrameIntervals = False
6.1588 	EXP 	window1: recordFrameIntervals = True
6.3055 	EXP 	window1: recordFrameIntervals = False
6.4240 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
6.4262 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
6.4296 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
6.4389 	EXP 	instructions: autoDraw = True
8.0275 	DATA 	Keypress: space
8.0406 	EXP 	instructions: autoDraw = False
8.0406 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
8.0406 	EXP 	fixation: autoDraw = True
8.5478 	EXP 	gabor: autoDraw = True
9.0291 	DATA 	Keypress: up
9.0421 	EXP 	fixation: autoDraw = False
9.0421 	EXP 	gabor: autoDraw = False
9.0554 	EXP 	fixation: autoDraw = False
9.0554 	EXP 	gabor: autoDraw = False
9.0554 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
9.0554 	EXP 	fixation: autoDraw = True
9.5625 	EXP 	gabor: autoDraw = True
10.0564 	EXP 	fixation: autoDraw = False
10.0564 	EXP 	gabor: autoDraw = False
10.2835 	DATA 	Keypress: up
10.2967 	EXP 	fixation: autoDraw = False
10.2967 	EXP 	gabor: autoDraw = False
10.2967 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
10.2967 	EXP 	fixation: autoDraw = True
10.8039 	EXP 	gabor: autoDraw = True
11.2977 	EXP 	fixation: autoDraw = False
11.2977 	EXP 	gabor: autoDraw = False
11.5381 	DATA 	Keypress: up
11.5513 	EXP 	fixation: autoDraw = False
11.5513 	EXP 	gabor: autoDraw = False
11.5513 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
11.5513 	EXP 	fixation: autoDraw = True
12.0585 	EXP 	gabor: autoDraw = True
12.5524 	EXP 	fixation: autoDraw = False
12.5524 	EXP 	gabor: autoDraw = False
12.9663 	DATA 	Keypress: up
12.9795 	EXP 	fixation: autoDraw = False
12.9795 	EXP 	gabor: autoDraw = False
12.9795 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
12.9795 	EXP 	fixation: autoDraw = True
13.4867 	EXP 	gabor: autoDraw = True
13.9806 	EXP 	fixation: autoDraw = False
13.9806 	EXP 	gabor: autoDraw = False
14.4345 	DATA 	Keypress: up
14.4477 	EXP 	fixation: autoDraw = False
14.4477 	EXP 	gabor: autoDraw = False
14.4477 	EXP 	gabor: color = '[  5.00000000e-05   5.00000000e-05   5.00000000e-05] (rgb)'
14.4477 	EXP 	fixation: autoDraw = True
14.9549 	EXP 	gabor: autoDraw = True
15.4488 	EXP 	fixation: autoDraw = False
15.4488 	EXP 	gabor: autoDraw = False
16.7971 	DATA 	Keypress: up
16.8103 	EXP 	fixation: autoDraw = False
16.8103 	EXP 	gabor: autoDraw = False
16.8103 	EXP 	gabor: color = '[  7.92446596e-06   7.92446596e-06   7.92446596e-06] (rgb)'
16.8103 	EXP 	fixation: autoDraw = True
17.3204 	EXP 	gabor: autoDraw = True
17.7180 	DATA 	Keypress: up
17.7312 	EXP 	fixation: autoDraw = False
17.7312 	EXP 	gabor: autoDraw = False
17.7312 	EXP 	gabor: color = '[  1.25594322e-06   1.25594322e-06   1.25594322e-06] (rgb)'
17.7312 	EXP 	fixation: autoDraw = True
18.2380 	EXP 	gabor: autoDraw = True
18.5723 	DATA 	Keypress: up
18.5854 	EXP 	fixation: autoDraw = False
18.5854 	EXP 	gabor: autoDraw = False
18.5854 	EXP 	gabor: color = '[  1.99053585e-07   1.99053585e-07   1.99053585e-07] (rgb)'
18.5854 	EXP 	fixation: autoDraw = True
