trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,74.6360226709,,,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
0,0.8,0.5,,,0,[],2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
1,0.8,1.0,,,1,0.253783673319,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
2,0.8,0.158489319246,,,1,0.493930486304,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
3,0.8,0.158489319246,,,1,0.347147989638,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
4,0.8,0.158489319246,,,1,0.333769220228,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
5,0.8,0.0251188643151,,,1,0.413902678893,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
6,0.8,0.0251188643151,,,1,0.40322737418,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
7,0.8,0.0251188643151,,,1,0.400614769563,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
8,0.8,0.00398107170553,,,1,0.695820979683,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
9,0.8,0.00398107170553,,,1,0.560580731746,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
10,0.8,0.00398107170553,,,1,0.56066042298,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
11,0.4,0.00063095734448,,,0,1.18756357942,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
12,0.4,0.00158489319246,,,1,0.934285824681,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
13,0.4,0.00158489319246,,,1,0.787533815948,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
14,0.4,0.00158489319246,,,1,0.667447882235,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
15,0.4,0.00063095734448,,,1,0.640765204876,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
16,0.2,0.00063095734448,,,0,0.760892795369,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
17,0.2,0.001,,,0,0.547317876856,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
18,0.2,0.00158489319246,,,1,0.627483030899,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
19,0.2,0.00158489319246,,,1,0.587325290556,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
20,0.2,0.00158489319246,,,1,0.5874010576,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
21,0.2,0.001,,,1,0.667425242681,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
22,0.2,0.001,,,1,0.627417527121,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
23,0.2,0.001,,,1,0.947786847686,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
24,0.2,0.00063095734448,,,0,0.867869521303,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
25,0.2,0.001,,,0,0.959952740684,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
26,0.2,0.00158489319246,,,1,0.573916335073,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
27,0.2,0.00158489319246,,,1,0.707433863824,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
28,0.2,0.00158489319246,,,1,0.669895369034,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
29,0.2,0.001,,,1,0.734231550121,2016_maj_27_1000,74.9133002874,psychophysicsStaircase,s_001_kasper,10,
