trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,2.09510209983,,,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
0,0.8,0.5,,,1,0.854350430619,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
1,0.8,0.0792446596231,,,1,0.560645160706,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
2,0.8,0.0125594321575,,,1,0.640785236117,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
3,0.8,0.00199053585277,,,0,0.947711700148,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
4,0.8,0.0125594321575,,,1,1.12132624283,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
5,0.8,0.0125594321575,,,1,0.961075372489,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
6,0.4,0.0125594321575,,,1,1.09453399811,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
7,0.4,0.005,,,1,0.64074871098,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
8,0.4,0.005,,,1,0.760892263825,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
9,0.4,0.005,,,1,0.854235723577,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
10,0.4,0.00199053585277,,,1,0.720819962165,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
11,0.4,0.00199053585277,,,1,1.06782476507,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
12,0.4,0.00199053585277,,,0,0.427214608123,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
13,0.4,0.005,,,1,1.06790596558,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
14,0.4,0.005,,,0,0.894294743369,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
15,0.4,0.0125594321575,,,1,0.387135363668,2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
16,0.4,0.0125594321575,,,0,[],2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
17,0.4,0.031547867224,,,0,[],2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
18,0.4,0.0792446596231,,,0,[],2016_maj_19_1010,75.0271659741,psychophysicsStaircase,s_0EMA,10,
