1.3607 	WARNING 	Movie2 stim could not be imported and won't be available
11.1115 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x04A3D468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.1115 	EXP 	window1: recordFrameIntervals = False
11.2443 	EXP 	window1: recordFrameIntervals = True
11.3911 	EXP 	window1: recordFrameIntervals = False
11.5067 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.5086 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
11.5119 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
11.5246 	EXP 	instructions: autoDraw = True
13.6070 	DATA 	Keypress: space
13.6201 	EXP 	instructions: autoDraw = False
13.6201 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
13.6201 	EXP 	fixation: autoDraw = True
14.1273 	EXP 	gabor: autoDraw = True
14.6212 	EXP 	fixation: autoDraw = False
14.6212 	EXP 	gabor: autoDraw = False
14.9684 	DATA 	Keypress: up
14.9816 	EXP 	fixation: autoDraw = False
14.9816 	EXP 	gabor: autoDraw = False
14.9816 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
14.9816 	EXP 	fixation: autoDraw = True
15.4887 	EXP 	gabor: autoDraw = True
15.9826 	EXP 	fixation: autoDraw = False
15.9826 	EXP 	gabor: autoDraw = False
16.0361 	DATA 	Keypress: up
16.0493 	EXP 	fixation: autoDraw = False
16.0493 	EXP 	gabor: autoDraw = False
16.0493 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
16.0493 	EXP 	fixation: autoDraw = True
16.5565 	EXP 	gabor: autoDraw = True
17.0504 	EXP 	fixation: autoDraw = False
17.0504 	EXP 	gabor: autoDraw = False
17.1840 	DATA 	Keypress: up
17.1972 	EXP 	fixation: autoDraw = False
17.1972 	EXP 	gabor: autoDraw = False
17.1972 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
17.1972 	EXP 	fixation: autoDraw = True
17.7044 	EXP 	gabor: autoDraw = True
18.1983 	EXP 	fixation: autoDraw = False
18.1983 	EXP 	gabor: autoDraw = False
18.6389 	DATA 	Keypress: down
18.6521 	EXP 	fixation: autoDraw = False
18.6521 	EXP 	gabor: autoDraw = False
18.6521 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
18.6521 	EXP 	fixation: autoDraw = True
19.1592 	EXP 	gabor: autoDraw = True
19.6531 	EXP 	fixation: autoDraw = False
19.6531 	EXP 	gabor: autoDraw = False
20.2673 	DATA 	Keypress: up
20.2805 	EXP 	fixation: autoDraw = False
20.2805 	EXP 	gabor: autoDraw = False
20.2805 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
20.2805 	EXP 	fixation: autoDraw = True
20.7877 	EXP 	gabor: autoDraw = True
21.2815 	EXP 	fixation: autoDraw = False
21.2815 	EXP 	gabor: autoDraw = False
21.7355 	DATA 	Keypress: up
21.7487 	EXP 	fixation: autoDraw = False
21.7487 	EXP 	gabor: autoDraw = False
21.7487 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
21.7487 	EXP 	fixation: autoDraw = True
22.2560 	EXP 	gabor: autoDraw = True
22.7497 	EXP 	fixation: autoDraw = False
22.7497 	EXP 	gabor: autoDraw = False
23.3371 	DATA 	Keypress: up
23.3503 	EXP 	fixation: autoDraw = False
23.3503 	EXP 	gabor: autoDraw = False
23.3503 	EXP 	gabor: color = '[ 0.005  0.005  0.005] (rgb)'
23.3503 	EXP 	fixation: autoDraw = True
23.8575 	EXP 	gabor: autoDraw = True
24.3514 	EXP 	fixation: autoDraw = False
24.3514 	EXP 	gabor: autoDraw = False
24.4850 	DATA 	Keypress: up
24.4983 	EXP 	fixation: autoDraw = False
