trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,lshift,37.4973958491,,,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
0,0.8,0.5,,,0,[],2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
1,0.8,1.0,,,1,0.974394679044,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
2,0.8,0.158489319246,,,1,0.720801029223,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
3,0.8,0.158489319246,,,1,0.734105834723,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
4,0.8,0.158489319246,,,1,0.603494096213,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
5,0.8,0.0251188643151,,,1,0.774170577773,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
6,0.8,0.0251188643151,,,1,0.520584172606,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
7,0.8,0.0251188643151,,,1,0.560671857056,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
8,0.8,0.00398107170553,,,1,0.85434715412,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
9,0.8,0.00398107170553,,,1,0.800826373437,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
10,0.8,0.00398107170553,,,1,0.787659820067,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
11,0.4,0.00063095734448,,,0,1.44161624589,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
12,0.4,0.00158489319246,,,0,1.42818979059,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
13,0.4,0.00398107170553,,,0,[],2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
14,0.4,0.01,,,0,[],2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
15,0.4,0.0251188643151,,,0,[],2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
16,0.4,0.063095734448,,,0,0.146904359714,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
17,0.4,0.158489319246,,,1,0.600671398231,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
18,0.4,0.158489319246,,,1,0.56061782402,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
19,0.4,0.158489319246,,,1,0.614025708859,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
20,0.4,0.063095734448,,,1,0.614055291193,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
21,0.4,0.063095734448,,,1,0.467263827326,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
22,0.4,0.063095734448,,,1,0.44044713999,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
23,0.4,0.0251188643151,,,1,0.480587348178,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
24,0.4,0.0251188643151,,,1,0.440579354912,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
25,0.4,0.0251188643151,,,1,0.373799953391,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
26,0.4,0.01,,,1,0.694076711217,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
27,0.4,0.01,,,1,1.21471853919,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
28,0.2,0.01,,,0,0.8275808775,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
29,0.2,0.0158489319246,,,1,0.600728148012,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
30,0.2,0.0158489319246,,,1,0.589319932336,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
31,0.2,0.0158489319246,,,1,0.467334764555,2016_maj_18_1301,74.8093064862,psychophysicsStaircase,s_Abdul1,10,
