trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,50.2579593128,,,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
0,0.8,0.5,,,1,0.680812464192,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
1,0.8,0.0792446596231,,,1,0.827543040812,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
2,0.8,0.0125594321575,,,0,[],2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
3,0.8,0.0792446596231,,,1,0.45389650886,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
4,0.8,0.0792446596231,,,1,0.373911565672,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
5,0.4,0.0792446596231,,,1,0.0268133830559,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
6,0.4,0.031547867224,,,1,1.08118634889,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
7,0.4,0.031547867224,,,1,0.427195719856,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
8,0.4,0.031547867224,,,0,[],2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
9,0.4,0.0792446596231,,,1,0.440509589209,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
10,0.4,0.0792446596231,,,1,0.400500968066,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
11,0.2,0.0792446596231,,,1,0.267076412421,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
12,0.2,0.05,,,1,0.760850534867,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
13,0.2,0.05,,,0,1.42815412767,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
14,0.2,0.0792446596231,,,1,0.360441332461,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
15,0.2,0.0792446596231,,,1,0.32054017374,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
16,0.2,0.0792446596231,,,1,0.280397828294,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
17,0.2,0.05,,,1,0.347066185381,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
18,0.2,0.05,,,1,0.240380151328,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
19,0.2,0.05,,,1,0.293677285523,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
20,0.2,0.031547867224,,,1,0.347294693953,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
21,0.2,0.031547867224,,,1,0.0534595352674,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
22,0.2,0.031547867224,,,1,0.667440637577,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
23,0.2,0.0199053585277,,,1,0.160281708508,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
24,0.2,0.0199053585277,,,1,0.0669116568351,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
25,0.2,0.0199053585277,,,1,0.50719153003,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
26,0.2,0.0125594321575,,,1,0.440645426537,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
27,0.2,0.0125594321575,,,1,0.587278804003,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
28,0.2,0.0125594321575,,,1,0.507267297073,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
29,0.2,0.00792446596231,,,1,0.694129352152,2016_maj_11_1243,74.9254993843,psychophysicsStaircase,s_David,10,
