trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,31.6562419064,,,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
0,0.8,0.5,,,1,0.0935252080872,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
1,0.8,0.0792446596231,,,1,0.253692511378,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
2,0.8,0.0125594321575,,,1,0.480699930511,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
3,0.8,0.00199053585277,,,1,0.347123840778,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
4,0.8,0.00031547867224,,,1,0.454010914076,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
5,0.8,5e-05,,,0,0.534029665665,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
6,0.8,0.00031547867224,,,0,1.05451091619,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
7,0.8,0.00199053585277,,,0,0.827703932582,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
8,0.8,0.0125594321575,,,0,0.800893568134,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
9,0.8,0.0792446596231,,,1,0.694155312174,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
10,0.8,0.0792446596231,,,1,0.0534534980543,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
11,0.8,0.0792446596231,,,0,0.480619635557,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
12,0.8,0.5,,,1,0.961411331731,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
13,0.8,0.5,,,1,0.373811046049,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
14,0.8,0.5,,,0,1.20140238458,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
15,0.8,1.0,,,1,0.203100653045,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
16,0.8,1.0,,,1,0.20027795336,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
17,0.4,1.0,,,1,0.280368245942,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
18,0.4,0.398107170553,,,1,0.373837307932,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
19,0.4,0.398107170553,,,1,0.29107041626,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
20,0.4,0.398107170553,,,1,0.26695506441,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
21,0.4,0.158489319246,,,1,0.387193739651,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
22,0.4,0.158489319246,,,1,0.253759524461,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
23,0.4,0.158489319246,,,1,0.30718223272,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
24,0.4,0.063095734448,,,1,0.424259520536,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
25,0.4,0.063095734448,,,1,0.347093050985,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
26,0.4,0.063095734448,,,1,0.323155495103,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
27,0.4,0.0251188643151,,,1,0.467221848921,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
28,0.4,0.0251188643151,,,1,0.347090937959,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
29,0.4,0.0251188643151,,,1,0.453926996794,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
30,0.4,0.01,,,1,0.480711401218,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
31,0.4,0.01,,,1,0.440545510637,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
32,0.4,0.01,,,1,0.565430426233,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
33,0.4,0.00398107170553,,,1,0.614049020975,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
34,0.4,0.00398107170553,,,1,0.587342194756,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
35,0.4,0.00398107170553,,,1,0.654176877106,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
36,0.4,0.00158489319246,,,1,0.694856232789,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
37,0.4,0.00158489319246,,,1,0.894330632887,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
38,0.4,0.00158489319246,,,1,0.654091148659,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
39,0.4,0.00063095734448,,,0,0.82760854459,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
40,0.4,0.00158489319246,,,1,0.960998386252,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
41,0.4,0.00158489319246,,,1,0.934330198208,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
42,0.2,0.00158489319246,,,1,1.09275968928,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
43,0.2,0.001,,,0,1.18802240772,2016_maj_11_1245,75.1885736853,psychophysicsStaircase,s_David,10,
