1.4141 	WARNING 	Movie2 stim could not be imported and won't be available
15.9553 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x051FB468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9553 	EXP 	window1: recordFrameIntervals = False
16.0882 	EXP 	window1: recordFrameIntervals = True
16.2352 	EXP 	window1: recordFrameIntervals = False
16.3536 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.3556 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
16.3594 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
16.3684 	EXP 	instructions: autoDraw = True
48.0156 	DATA 	Keypress: up
48.0288 	EXP 	instructions: autoDraw = False
48.0288 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
48.0288 	EXP 	fixation: autoDraw = True
48.5359 	EXP 	gabor: autoDraw = True
48.6162 	DATA 	Keypress: up
48.6294 	EXP 	fixation: autoDraw = False
48.6294 	EXP 	gabor: autoDraw = False
48.6294 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
48.6294 	EXP 	fixation: autoDraw = True
49.1366 	EXP 	gabor: autoDraw = True
49.3770 	DATA 	Keypress: up
49.3902 	EXP 	fixation: autoDraw = False
49.3902 	EXP 	gabor: autoDraw = False
49.3902 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
49.3902 	EXP 	fixation: autoDraw = True
49.8973 	EXP 	gabor: autoDraw = True
50.3648 	DATA 	Keypress: up
50.3779 	EXP 	fixation: autoDraw = False
50.3779 	EXP 	gabor: autoDraw = False
50.3779 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
50.3779 	EXP 	fixation: autoDraw = True
50.6182 	DATA 	Keypress: down
50.8851 	EXP 	gabor: autoDraw = True
51.2190 	DATA 	Keypress: up
51.2321 	EXP 	fixation: autoDraw = False
51.2321 	EXP 	gabor: autoDraw = False
51.2321 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
51.2321 	EXP 	fixation: autoDraw = True
51.5392 	DATA 	Keypress: down
51.7393 	EXP 	gabor: autoDraw = True
52.1801 	DATA 	Keypress: up
52.1931 	EXP 	fixation: autoDraw = False
52.1931 	EXP 	gabor: autoDraw = False
52.1931 	EXP 	gabor: color = '[  5.00000000e-05   5.00000000e-05   5.00000000e-05] (rgb)'
52.1931 	EXP 	fixation: autoDraw = True
52.3534 	DATA 	Keypress: down
52.7003 	EXP 	gabor: autoDraw = True
53.1942 	EXP 	fixation: autoDraw = False
53.1942 	EXP 	gabor: autoDraw = False
53.2211 	DATA 	Keypress: down
53.2343 	EXP 	fixation: autoDraw = False
53.2343 	EXP 	gabor: autoDraw = False
53.2343 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
53.2343 	EXP 	fixation: autoDraw = True
53.7414 	EXP 	gabor: autoDraw = True
54.2353 	EXP 	fixation: autoDraw = False
54.2353 	EXP 	gabor: autoDraw = False
54.7826 	DATA 	Keypress: down
54.7959 	EXP 	fixation: autoDraw = False
54.7959 	EXP 	gabor: autoDraw = False
54.7959 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
54.7959 	EXP 	fixation: autoDraw = True
55.3027 	EXP 	gabor: autoDraw = True
55.7969 	EXP 	fixation: autoDraw = False
55.7969 	EXP 	gabor: autoDraw = False
56.1175 	DATA 	Keypress: down
56.1306 	EXP 	fixation: autoDraw = False
56.1306 	EXP 	gabor: autoDraw = False
56.1306 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
56.1306 	EXP 	fixation: autoDraw = True
56.6378 	EXP 	gabor: autoDraw = True
57.1317 	EXP 	fixation: autoDraw = False
57.1317 	EXP 	gabor: autoDraw = False
57.4254 	DATA 	Keypress: down
57.4387 	EXP 	fixation: autoDraw = False
57.4387 	EXP 	gabor: autoDraw = False
57.4387 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
57.4387 	EXP 	fixation: autoDraw = True
57.7858 	DATA 	Keypress: up
57.9458 	EXP 	gabor: autoDraw = True
58.4397 	EXP 	fixation: autoDraw = False
58.4397 	EXP 	gabor: autoDraw = False
58.6267 	DATA 	Keypress: up
58.6399 	EXP 	fixation: autoDraw = False
58.6399 	EXP 	gabor: autoDraw = False
58.6399 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
58.6399 	EXP 	fixation: autoDraw = True
59.1471 	EXP 	gabor: autoDraw = True
59.1873 	DATA 	Keypress: up
59.2005 	EXP 	fixation: autoDraw = False
59.2005 	EXP 	gabor: autoDraw = False
59.2005 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
59.2005 	EXP 	fixation: autoDraw = True
59.7077 	EXP 	gabor: autoDraw = True
60.1751 	DATA 	Keypress: down
60.1882 	EXP 	fixation: autoDraw = False
60.1882 	EXP 	gabor: autoDraw = False
60.1882 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
60.1882 	EXP 	fixation: autoDraw = True
60.4549 	DATA 	Keypress: up
60.6954 	EXP 	gabor: autoDraw = True
61.1893 	EXP 	fixation: autoDraw = False
61.1893 	EXP 	gabor: autoDraw = False
61.6432 	DATA 	Keypress: up
61.6564 	EXP 	fixation: autoDraw = False
61.6564 	EXP 	gabor: autoDraw = False
61.6564 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
61.6564 	EXP 	fixation: autoDraw = True
62.1636 	EXP 	gabor: autoDraw = True
62.5242 	DATA 	Keypress: up
62.5373 	EXP 	fixation: autoDraw = False
62.5373 	EXP 	gabor: autoDraw = False
62.5373 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
62.5373 	EXP 	fixation: autoDraw = True
62.8445 	DATA 	Keypress: down
63.0446 	EXP 	gabor: autoDraw = True
63.5384 	EXP 	fixation: autoDraw = False
63.5384 	EXP 	gabor: autoDraw = False
64.2327 	DATA 	Keypress: down
64.2459 	EXP 	fixation: autoDraw = False
64.2459 	EXP 	gabor: autoDraw = False
64.2459 	EXP 	gabor: color = '[ 1.  1.  1.] (rgb)'
64.2459 	EXP 	fixation: autoDraw = True
64.7531 	EXP 	gabor: autoDraw = True
64.9429 	DATA 	Keypress: up
64.9532 	EXP 	fixation: autoDraw = False
64.9532 	EXP 	gabor: autoDraw = False
64.9532 	EXP 	gabor: color = '[ 1.  1.  1.] (rgb)'
64.9532 	EXP 	fixation: autoDraw = True
65.4605 	EXP 	gabor: autoDraw = True
65.6475 	DATA 	Keypress: up
65.6607 	EXP 	fixation: autoDraw = False
65.6607 	EXP 	gabor: autoDraw = False
65.6607 	EXP 	gabor: color = '[ 1.  1.  1.] (rgb)'
65.6607 	EXP 	fixation: autoDraw = True
66.1678 	EXP 	gabor: autoDraw = True
66.4350 	DATA 	Keypress: up
66.4478 	EXP 	fixation: autoDraw = False
66.4478 	EXP 	gabor: autoDraw = False
66.4478 	EXP 	gabor: color = '[ 0.39810717  0.39810717  0.39810717] (rgb)'
66.4478 	EXP 	fixation: autoDraw = True
