1.3581 	WARNING 	Movie2 stim could not be imported and won't be available
10.6441 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x05302468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.6441 	EXP 	window1: recordFrameIntervals = False
10.7769 	EXP 	window1: recordFrameIntervals = True
10.9239 	EXP 	window1: recordFrameIntervals = False
11.0397 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.0416 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
11.0448 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
11.0572 	EXP 	instructions: autoDraw = True
13.5667 	DATA 	Keypress: up
13.5798 	EXP 	instructions: autoDraw = False
13.5798 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
13.5798 	EXP 	fixation: autoDraw = True
14.0870 	EXP 	gabor: autoDraw = True
14.3675 	DATA 	Keypress: up
14.3807 	EXP 	fixation: autoDraw = False
14.3807 	EXP 	gabor: autoDraw = False
14.3807 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
14.3807 	EXP 	fixation: autoDraw = True
14.8879 	EXP 	gabor: autoDraw = True
15.2217 	DATA 	Keypress: up
15.2349 	EXP 	fixation: autoDraw = False
15.2349 	EXP 	gabor: autoDraw = False
15.2349 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
15.2349 	EXP 	fixation: autoDraw = True
15.7421 	EXP 	gabor: autoDraw = True
16.1695 	DATA 	Keypress: up
16.1826 	EXP 	fixation: autoDraw = False
16.1826 	EXP 	gabor: autoDraw = False
16.1826 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
16.1826 	EXP 	fixation: autoDraw = True
16.6897 	EXP 	gabor: autoDraw = True
17.1037 	DATA 	Keypress: down
17.1038 	DATA 	Keypress: up
17.1169 	EXP 	fixation: autoDraw = False
17.1169 	EXP 	gabor: autoDraw = False
17.1169 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
17.1169 	EXP 	fixation: autoDraw = True
17.6241 	EXP 	gabor: autoDraw = True
18.1179 	EXP 	fixation: autoDraw = False
18.1179 	EXP 	gabor: autoDraw = False
18.3583 	DATA 	Keypress: up
18.3716 	EXP 	fixation: autoDraw = False
18.3716 	EXP 	gabor: autoDraw = False
18.3716 	EXP 	gabor: color = '[  5.00000000e-05   5.00000000e-05   5.00000000e-05] (rgb)'
18.3716 	EXP 	fixation: autoDraw = True
18.8788 	EXP 	gabor: autoDraw = True
19.3726 	EXP 	fixation: autoDraw = False
19.3726 	EXP 	gabor: autoDraw = False
19.4261 	DATA 	Keypress: down
19.4393 	EXP 	fixation: autoDraw = False
19.4393 	EXP 	gabor: autoDraw = False
19.4393 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
19.4393 	EXP 	fixation: autoDraw = True
19.9465 	EXP 	gabor: autoDraw = True
20.4404 	EXP 	fixation: autoDraw = False
20.4404 	EXP 	gabor: autoDraw = False
20.6140 	DATA 	Keypress: down
20.6272 	EXP 	fixation: autoDraw = False
20.6272 	EXP 	gabor: autoDraw = False
20.6272 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
20.6272 	EXP 	fixation: autoDraw = True
21.1344 	EXP 	gabor: autoDraw = True
21.6283 	EXP 	fixation: autoDraw = False
21.6283 	EXP 	gabor: autoDraw = False
21.8687 	DATA 	Keypress: up
21.8819 	EXP 	fixation: autoDraw = False
21.8819 	EXP 	gabor: autoDraw = False
21.8819 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
21.8819 	EXP 	fixation: autoDraw = True
22.3891 	EXP 	gabor: autoDraw = True
22.8829 	EXP 	fixation: autoDraw = False
22.8829 	EXP 	gabor: autoDraw = False
23.1501 	DATA 	Keypress: up
23.1632 	EXP 	fixation: autoDraw = False
23.1632 	EXP 	gabor: autoDraw = False
23.1632 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
23.1632 	EXP 	fixation: autoDraw = True
23.6704 	EXP 	gabor: autoDraw = True
24.1643 	EXP 	fixation: autoDraw = False
24.1643 	EXP 	gabor: autoDraw = False
24.4047 	DATA 	Keypress: up
24.4179 	EXP 	fixation: autoDraw = False
24.4179 	EXP 	gabor: autoDraw = False
24.4179 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
24.4179 	EXP 	fixation: autoDraw = True
24.9251 	EXP 	gabor: autoDraw = True
25.4190 	EXP 	fixation: autoDraw = False
25.4190 	EXP 	gabor: autoDraw = False
25.6594 	DATA 	Keypress: down
25.6725 	EXP 	fixation: autoDraw = False
25.6725 	EXP 	gabor: autoDraw = False
25.6725 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
25.6725 	EXP 	fixation: autoDraw = True
26.1798 	EXP 	gabor: autoDraw = True
26.6736 	EXP 	fixation: autoDraw = False
26.6736 	EXP 	gabor: autoDraw = False
26.8339 	DATA 	Keypress: up
26.8471 	EXP 	fixation: autoDraw = False
26.8471 	EXP 	gabor: autoDraw = False
26.8471 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
26.8471 	EXP 	fixation: autoDraw = True
27.3543 	EXP 	gabor: autoDraw = True
27.8482 	EXP 	fixation: autoDraw = False
27.8482 	EXP 	gabor: autoDraw = False
27.9551 	DATA 	Keypress: up
27.9683 	EXP 	fixation: autoDraw = False
27.9683 	EXP 	gabor: autoDraw = False
27.9683 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
27.9683 	EXP 	fixation: autoDraw = True
28.4755 	EXP 	gabor: autoDraw = True
28.9693 	EXP 	fixation: autoDraw = False
28.9693 	EXP 	gabor: autoDraw = False
28.9829 	DATA 	Keypress: up
28.9960 	EXP 	fixation: autoDraw = False
28.9960 	EXP 	gabor: autoDraw = False
28.9960 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
28.9960 	EXP 	fixation: autoDraw = True
29.5032 	EXP 	gabor: autoDraw = True
29.9971 	EXP 	fixation: autoDraw = False
29.9971 	EXP 	gabor: autoDraw = False
