trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,1.14204781112,,,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
0,0.8,0.5,,,1,0.427208096146,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
1,0.8,0.0792446596231,,,1,0.280380320371,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
2,0.8,0.0125594321575,,,1,0.267061621246,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
3,0.8,0.00199053585277,,,1,0.413812422535,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
4,0.8,0.00031547867224,,,1,0.440534945511,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
5,0.8,5e-05,,,0,0.333779181631,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
6,0.8,0.00031547867224,,,0,0.560672195548,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
7,0.8,0.00199053585277,,,1,0.680818803267,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
8,0.8,0.00199053585277,,,1,0.533930655346,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
9,0.4,0.00199053585277,,,1,0.587309291937,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
10,0.4,0.000792446596231,,,1,0.600696211587,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
11,0.4,0.000792446596231,,,0,0.507232583089,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
12,0.4,0.00199053585277,,,1,0.614054152608,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
13,0.4,0.00199053585277,,,1,0.587317744038,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
14,0.2,0.00199053585277,,,1,0.52061165436,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
15,0.2,0.00125594321575,,,1,0.600652743642,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
16,0.2,0.00125594321575,,,1,0.654162387791,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
17,0.2,0.00125594321575,,,1,0.747552664132,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
18,0.2,0.000792446596231,,,0,0.493936825379,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
19,0.2,0.00125594321575,,,1,0.707510234588,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
20,0.2,0.00125594321575,,,1,0.747543004589,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
21,0.2,0.00125594321575,,,1,1.04115056028,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
22,0.2,0.000792446596231,,,0,0.453794781794,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
23,0.2,0.00125594321575,,,1,0.654100808202,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
24,0.2,0.00125594321575,,,1,0.840895246478,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
25,0.2,0.00125594321575,,,1,0.747501045948,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
26,0.2,0.000792446596231,,,0,0.774412835601,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
27,0.2,0.00125594321575,,,1,0.827521004979,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
28,0.2,0.00125594321575,,,0,0.467249921969,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
29,0.2,0.00199053585277,,,1,0.560664649029,2016_maj_11_0957,74.9160108549,psychophysicsStaircase,s_bjorn2,10,
