1.4000 	WARNING 	Movie2 stim could not be imported and won't be available
19.8281 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x03EB0468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
19.8281 	EXP 	window1: recordFrameIntervals = False
19.9605 	EXP 	window1: recordFrameIntervals = True
20.1079 	EXP 	window1: recordFrameIntervals = False
20.2286 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
20.2306 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
20.2338 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
20.2412 	EXP 	instructions: autoDraw = True
21.3759 	DATA 	Keypress: up
21.3891 	EXP 	instructions: autoDraw = False
21.3891 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
21.3891 	EXP 	fixation: autoDraw = True
21.8963 	EXP 	gabor: autoDraw = True
22.3102 	DATA 	Keypress: up
22.3234 	EXP 	fixation: autoDraw = False
22.3234 	EXP 	gabor: autoDraw = False
22.3234 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
22.3234 	EXP 	fixation: autoDraw = True
22.8306 	EXP 	gabor: autoDraw = True
23.0977 	DATA 	Keypress: up
23.1109 	EXP 	fixation: autoDraw = False
23.1109 	EXP 	gabor: autoDraw = False
23.1109 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
23.1109 	EXP 	fixation: autoDraw = True
23.6181 	EXP 	gabor: autoDraw = True
23.8719 	DATA 	Keypress: up
23.8850 	EXP 	fixation: autoDraw = False
23.8850 	EXP 	gabor: autoDraw = False
23.8850 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
23.8850 	EXP 	fixation: autoDraw = True
23.9252 	DATA 	Keypress: up
24.3922 	EXP 	gabor: autoDraw = True
24.7928 	DATA 	Keypress: up
24.8060 	EXP 	fixation: autoDraw = False
24.8060 	EXP 	gabor: autoDraw = False
24.8060 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
24.8060 	EXP 	fixation: autoDraw = True
25.3132 	EXP 	gabor: autoDraw = True
25.7405 	DATA 	Keypress: up
25.7536 	EXP 	fixation: autoDraw = False
25.7536 	EXP 	gabor: autoDraw = False
25.7536 	EXP 	gabor: color = '[  5.00000000e-05   5.00000000e-05   5.00000000e-05] (rgb)'
25.7536 	EXP 	fixation: autoDraw = True
26.2608 	EXP 	gabor: autoDraw = True
26.5814 	DATA 	Keypress: down
26.5946 	EXP 	fixation: autoDraw = False
26.5946 	EXP 	gabor: autoDraw = False
26.5946 	EXP 	gabor: color = '[ 0.00031548  0.00031548  0.00031548] (rgb)'
26.5946 	EXP 	fixation: autoDraw = True
27.1017 	EXP 	gabor: autoDraw = True
27.5956 	EXP 	fixation: autoDraw = False
27.5956 	EXP 	gabor: autoDraw = False
27.6491 	DATA 	Keypress: down
27.6623 	EXP 	fixation: autoDraw = False
27.6623 	EXP 	gabor: autoDraw = False
27.6623 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
27.6623 	EXP 	fixation: autoDraw = True
28.1695 	EXP 	gabor: autoDraw = True
28.6634 	EXP 	fixation: autoDraw = False
28.6634 	EXP 	gabor: autoDraw = False
28.8371 	DATA 	Keypress: up
28.8502 	EXP 	fixation: autoDraw = False
28.8502 	EXP 	gabor: autoDraw = False
28.8502 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
28.8502 	EXP 	fixation: autoDraw = True
29.3574 	EXP 	gabor: autoDraw = True
29.8513 	EXP 	fixation: autoDraw = False
29.8513 	EXP 	gabor: autoDraw = False
29.8781 	DATA 	Keypress: up
29.8914 	EXP 	fixation: autoDraw = False
29.8914 	EXP 	gabor: autoDraw = False
29.8914 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
29.8914 	EXP 	fixation: autoDraw = True
30.3985 	EXP 	gabor: autoDraw = True
30.8924 	EXP 	fixation: autoDraw = False
30.8924 	EXP 	gabor: autoDraw = False
30.9726 	DATA 	Keypress: up
30.9859 	EXP 	fixation: autoDraw = False
30.9859 	EXP 	gabor: autoDraw = False
30.9859 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
30.9859 	EXP 	fixation: autoDraw = True
31.4930 	EXP 	gabor: autoDraw = True
31.9869 	EXP 	fixation: autoDraw = False
31.9869 	EXP 	gabor: autoDraw = False
32.0805 	DATA 	Keypress: up
32.0936 	EXP 	fixation: autoDraw = False
32.0936 	EXP 	gabor: autoDraw = False
32.0936 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
32.0936 	EXP 	fixation: autoDraw = True
32.6009 	EXP 	gabor: autoDraw = True
33.0947 	EXP 	fixation: autoDraw = False
33.0947 	EXP 	gabor: autoDraw = False
33.0948 	DATA 	Keypress: down
33.1081 	EXP 	fixation: autoDraw = False
33.1081 	EXP 	gabor: autoDraw = False
33.1081 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
33.1081 	EXP 	fixation: autoDraw = True
33.6152 	EXP 	gabor: autoDraw = True
34.1091 	EXP 	fixation: autoDraw = False
34.1091 	EXP 	gabor: autoDraw = False
34.2160 	DATA 	Keypress: up
34.2292 	EXP 	fixation: autoDraw = False
34.2292 	EXP 	gabor: autoDraw = False
34.2292 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
34.2292 	EXP 	fixation: autoDraw = True
34.7364 	EXP 	gabor: autoDraw = True
35.2303 	EXP 	fixation: autoDraw = False
35.2303 	EXP 	gabor: autoDraw = False
35.3105 	DATA 	Keypress: up
35.3237 	EXP 	fixation: autoDraw = False
35.3237 	EXP 	gabor: autoDraw = False
35.3237 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
35.3237 	EXP 	fixation: autoDraw = True
35.8309 	EXP 	gabor: autoDraw = True
36.3248 	EXP 	fixation: autoDraw = False
36.3248 	EXP 	gabor: autoDraw = False
36.3383 	DATA 	Keypress: up
36.3515 	EXP 	fixation: autoDraw = False
36.3515 	EXP 	gabor: autoDraw = False
36.3515 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
36.3515 	EXP 	fixation: autoDraw = True
36.8587 	EXP 	gabor: autoDraw = True
37.3525 	EXP 	fixation: autoDraw = False
37.3525 	EXP 	gabor: autoDraw = False
37.4461 	DATA 	Keypress: up
37.4593 	EXP 	fixation: autoDraw = False
37.4593 	EXP 	gabor: autoDraw = False
37.4593 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
37.4593 	EXP 	fixation: autoDraw = True
37.9665 	EXP 	gabor: autoDraw = True
38.4604 	EXP 	fixation: autoDraw = False
38.4604 	EXP 	gabor: autoDraw = False
38.6073 	DATA 	Keypress: up
38.6205 	EXP 	fixation: autoDraw = False
38.6205 	EXP 	gabor: autoDraw = False
38.6205 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
38.6205 	EXP 	fixation: autoDraw = True
39.1277 	EXP 	gabor: autoDraw = True
39.6216 	EXP 	fixation: autoDraw = False
39.6216 	EXP 	gabor: autoDraw = False
39.8620 	DATA 	Keypress: up
39.8752 	EXP 	fixation: autoDraw = False
39.8752 	EXP 	gabor: autoDraw = False
39.8752 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
39.8752 	EXP 	fixation: autoDraw = True
40.3824 	EXP 	gabor: autoDraw = True
40.8631 	DATA 	Keypress: down
40.8762 	EXP 	fixation: autoDraw = False
40.8762 	EXP 	gabor: autoDraw = False
40.8762 	EXP 	fixation: autoDraw = False
40.8762 	EXP 	gabor: autoDraw = False
40.8762 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
40.8762 	EXP 	fixation: autoDraw = True
41.3834 	EXP 	gabor: autoDraw = True
41.8773 	EXP 	fixation: autoDraw = False
41.8773 	EXP 	gabor: autoDraw = False
42.0776 	DATA 	Keypress: up
42.0909 	EXP 	fixation: autoDraw = False
42.0909 	EXP 	gabor: autoDraw = False
42.0909 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
42.0909 	EXP 	fixation: autoDraw = True
42.5981 	EXP 	gabor: autoDraw = True
43.0919 	EXP 	fixation: autoDraw = False
43.0919 	EXP 	gabor: autoDraw = False
43.3323 	DATA 	Keypress: up
43.3454 	EXP 	fixation: autoDraw = False
43.3454 	EXP 	gabor: autoDraw = False
43.3454 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
43.3454 	EXP 	fixation: autoDraw = True
43.8527 	EXP 	gabor: autoDraw = True
44.3466 	EXP 	fixation: autoDraw = False
44.3466 	EXP 	gabor: autoDraw = False
44.8805 	DATA 	Keypress: up
44.8938 	EXP 	fixation: autoDraw = False
44.8938 	EXP 	gabor: autoDraw = False
44.8938 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
44.8938 	EXP 	fixation: autoDraw = True
45.4010 	EXP 	gabor: autoDraw = True
45.8284 	DATA 	Keypress: down
45.8548 	EXP 	fixation: autoDraw = False
45.8548 	EXP 	gabor: autoDraw = False
45.8548 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
45.8548 	EXP 	fixation: autoDraw = True
46.3620 	EXP 	gabor: autoDraw = True
46.8558 	EXP 	fixation: autoDraw = False
46.8558 	EXP 	gabor: autoDraw = False
47.0028 	DATA 	Keypress: up
47.0160 	EXP 	fixation: autoDraw = False
47.0160 	EXP 	gabor: autoDraw = False
47.0160 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
47.0160 	EXP 	fixation: autoDraw = True
47.5232 	EXP 	gabor: autoDraw = True
48.0171 	EXP 	fixation: autoDraw = False
48.0171 	EXP 	gabor: autoDraw = False
48.3509 	DATA 	Keypress: up
48.3641 	EXP 	fixation: autoDraw = False
48.3641 	EXP 	gabor: autoDraw = False
48.3641 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
48.3641 	EXP 	fixation: autoDraw = True
48.8713 	EXP 	gabor: autoDraw = True
49.3651 	EXP 	fixation: autoDraw = False
49.3651 	EXP 	gabor: autoDraw = False
49.6055 	DATA 	Keypress: up
49.6187 	EXP 	fixation: autoDraw = False
49.6187 	EXP 	gabor: autoDraw = False
49.6187 	EXP 	gabor: color = '[ 0.00079245  0.00079245  0.00079245] (rgb)'
49.6187 	EXP 	fixation: autoDraw = True
50.1259 	EXP 	gabor: autoDraw = True
50.6199 	EXP 	fixation: autoDraw = False
50.6199 	EXP 	gabor: autoDraw = False
50.8871 	DATA 	Keypress: down
50.9001 	EXP 	fixation: autoDraw = False
50.9001 	EXP 	gabor: autoDraw = False
50.9001 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
50.9001 	EXP 	fixation: autoDraw = True
51.4073 	EXP 	gabor: autoDraw = True
51.9011 	EXP 	fixation: autoDraw = False
51.9011 	EXP 	gabor: autoDraw = False
52.2216 	DATA 	Keypress: up
52.2348 	EXP 	fixation: autoDraw = False
52.2348 	EXP 	gabor: autoDraw = False
52.2348 	EXP 	gabor: color = '[ 0.00125594  0.00125594  0.00125594] (rgb)'
52.2348 	EXP 	fixation: autoDraw = True
52.7420 	EXP 	gabor: autoDraw = True
53.1960 	DATA 	Keypress: down
53.2092 	EXP 	fixation: autoDraw = False
53.2092 	EXP 	gabor: autoDraw = False
53.2092 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
53.2092 	EXP 	fixation: autoDraw = True
53.7164 	EXP 	gabor: autoDraw = True
54.2102 	EXP 	fixation: autoDraw = False
54.2102 	EXP 	gabor: autoDraw = False
54.2638 	DATA 	Keypress: up
