trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,45.250307747,,,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
0,0.8,0.5,,,1,0.720766750403,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
1,0.8,0.0792446596231,,,1,0.160316724352,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
2,0.8,0.0125594321575,,,1,1.04113908958,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
3,0.8,0.00199053585277,,,0,1.49501809051,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
4,0.8,0.0125594321575,,,1,0.493934108632,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
5,0.8,0.0125594321575,,,1,0.520643651597,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
6,0.4,0.0125594321575,,,1,0.560657706233,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
7,0.4,0.005,,,1,0.667421620352,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
8,0.4,0.005,,,1,0.987732078076,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
9,0.4,0.005,,,1,0.720755279695,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
10,0.4,0.00199053585277,,,0,1.57499880765,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
11,0.4,0.005,,,1,0.667457541779,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
12,0.4,0.005,,,1,0.66741679058,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
13,0.2,0.005,,,1,0.614026683281,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
14,0.2,0.0031547867224,,,1,0.667418601745,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
15,0.2,0.0031547867224,,,1,1.02782642767,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
16,0.2,0.0031547867224,,,0,[],2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
17,0.2,0.005,,,1,0.654060660725,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
18,0.2,0.005,,,1,0.453844286954,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
19,0.2,0.005,,,1,0.400505194118,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
20,0.2,0.0031547867224,,,1,0.400569188592,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
21,0.2,0.0031547867224,,,1,0.347041734661,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
22,0.2,0.0031547867224,,,1,0.387200984307,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
23,0.2,0.00199053585277,,,1,0.280399941318,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
24,0.2,0.00199053585277,,,1,0.373821913036,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
25,0.2,0.00199053585277,,,1,0.347167610585,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
26,0.2,0.00125594321575,,,1,0.387183174524,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
27,0.2,0.00125594321575,,,1,0.787531099202,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
28,0.2,0.00125594321575,,,1,0.480597297863,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
29,0.2,0.000792446596231,,,1,0.747570775776,2016_maj_11_0954,74.918382762,psychophysicsStaircase,s_bjorn,10,
