trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,2.01939815666,,,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
0,0.8,0.5,,,1,0.680674501153,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
1,0.8,0.0792446596231,,,1,0.373997559156,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
2,0.8,0.0125594321575,,,1,0.480530755205,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
3,0.8,0.00199053585277,,,1,1.25474275603,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
4,0.8,0.00031547867224,,,0,[],2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
5,0.8,0.00199053585277,,,1,1.48158243703,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
6,0.8,0.00199053585277,,,0,[],2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
7,0.8,0.0125594321575,,,0,[],2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
8,0.8,0.0792446596231,,,1,0.33377435146,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
9,0.8,0.0792446596231,,,1,0.480545848226,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
10,0.4,0.0792446596231,,,1,0.307034042919,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
11,0.4,0.031547867224,,,1,0.333820234249,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
12,0.4,0.031547867224,,,1,0.440694532615,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
13,0.4,0.031547867224,,,1,0.320492491373,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
14,0.4,0.0125594321575,,,1,0.574040483712,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
15,0.4,0.0125594321575,,,1,0.547304703075,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
16,0.4,0.0125594321575,,,1,0.600746983888,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
17,0.4,0.005,,,1,0.46726429,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
18,0.4,0.005,,,1,0.533959150431,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
19,0.4,0.005,,,1,0.440469344714,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
20,0.4,0.00199053585277,,,1,0.707526498063,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
21,0.4,0.00199053585277,,,1,0.987803026394,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
22,0.4,0.00199053585277,,,1,0.774214717567,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
23,0.4,0.000792446596231,,,0,[],2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
24,0.4,0.00199053585277,,,1,1.14800821906,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
25,0.4,0.00199053585277,,,0,1.09473769685,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
26,0.4,0.005,,,1,0.907659377037,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
27,0.4,0.005,,,1,0.867680374453,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
28,0.2,0.005,,,1,0.774275995242,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
29,0.2,0.0031547867224,,,1,1.29463904885,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
30,0.2,0.0031547867224,,,1,0.34720261387,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
31,0.2,0.0031547867224,,,1,0.507432257233,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
32,0.2,0.00199053585277,,,1,0.48053618869,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
33,0.2,0.00199053585277,,,1,0.640758889262,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
34,0.2,0.00199053585277,,,1,0.427089379977,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
35,0.2,0.00125594321575,,,1,0.480676855663,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
36,0.2,0.00125594321575,,,1,0.533939529501,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
37,0.2,0.00125594321575,,,1,0.50725868747,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
38,0.2,0.000792446596231,,,1,0.5739779986,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
39,0.2,0.000792446596231,,,0,1.28134300132,2016_maj_23_1610,74.8828877295,psychophysicsStaircase,s_lars1,10,
