trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,up,25.0890397789,,,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
0,0.8,0.5,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
1,0.8,1.0,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
2,0.8,1.0,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
3,0.8,1.0,,,1,0.400599615612,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
4,0.4,0.158489319246,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
5,0.4,0.398107170553,,,1,0.48052864218,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
6,0.4,0.398107170553,,,1,0.760784945858,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
7,0.4,0.398107170553,,,1,0.614034579325,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
8,0.4,0.158489319246,,,1,0.974377480725,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
9,0.4,0.158489319246,,,1,0.787670449281,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
10,0.4,0.158489319246,,,1,0.707443486441,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
11,0.4,0.063095734448,,,1,0.827669072794,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
12,0.4,0.063095734448,,,1,0.467336132788,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
13,0.4,0.063095734448,,,1,0.54729353424,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
14,0.4,0.0251188643151,,,1,0.467247687673,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
15,0.4,0.0251188643151,,,1,0.774157665943,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
16,0.4,0.0251188643151,,,1,0.854249999022,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
17,0.2,0.01,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
18,0.2,0.0158489319246,,,1,0.547344246799,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
19,0.2,0.0158489319246,,,1,0.493934566915,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
20,0.2,0.0158489319246,,,1,0.814474752242,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
21,0.2,0.01,,,1,1.00120985671,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
22,0.2,0.01,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
23,0.2,0.0158489319246,,,1,0.360430440938,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
24,0.2,0.0158489319246,,,1,1.00120140462,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
25,0.2,0.0158489319246,,,1,1.52167041125,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
26,0.2,0.01,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
27,0.2,0.0158489319246,,,1,0.520616918253,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
28,0.2,0.0158489319246,,,0,[],2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
29,0.2,0.0251188643151,,,1,0.574008788364,2016_maj_23_1608,74.9020197474,psychophysicsStaircase,s_lars,10,
