trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,4.6571441767,,,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
0,0.8,0.5,,,1,0.747529347627,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
1,0.8,0.0792446596231,,,1,0.453878589913,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
2,0.8,0.0125594321575,,,1,0.720830393966,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
3,0.8,0.00199053585277,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
4,0.8,0.0125594321575,,,1,0.907675375642,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
5,0.8,0.0125594321575,,,1,0.654395133526,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
6,0.4,0.0125594321575,,,1,0.680792226729,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
7,0.4,0.005,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
8,0.4,0.0125594321575,,,1,0.720847298151,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
9,0.4,0.0125594321575,,,1,1.18796911001,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
10,0.2,0.0125594321575,,,1,0.7342218294,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
11,0.2,0.00792446596231,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
12,0.2,0.0125594321575,,,1,0.46729719279,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
13,0.2,0.0125594321575,,,1,0.827594513263,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
14,0.2,0.0125594321575,,,1,0.547341530051,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
15,0.2,0.00792446596231,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
16,0.2,0.0125594321575,,,1,0.760849845854,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
17,0.2,0.0125594321575,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
18,0.2,0.0199053585277,,,1,0.0400641272354,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
19,0.2,0.0199053585277,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
20,0.2,0.031547867224,,,1,0.41385611942,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
21,0.2,0.031547867224,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
22,0.2,0.05,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
23,0.2,0.0792446596231,,,0,[],2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
24,0.2,0.125594321575,,,1,0.373792595907,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
25,0.2,0.125594321575,,,1,0.654116214468,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
26,0.2,0.125594321575,,,1,0.400565505381,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
27,0.2,0.0792446596231,,,1,0.387126979716,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
28,0.2,0.0792446596231,,,1,0.4005126798,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
29,0.2,0.0792446596231,,,1,0.400538337937,2016_maj_10_1446,74.929126059,psychophysicsStaircase,s_seb2,10,
