1.3720 	WARNING 	Movie2 stim could not be imported and won't be available
36.7898 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x050E2468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
36.7898 	EXP 	window1: recordFrameIntervals = False
36.9227 	EXP 	window1: recordFrameIntervals = True
37.0696 	EXP 	window1: recordFrameIntervals = False
37.1857 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
37.1876 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
37.1908 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
37.2029 	EXP 	instructions: autoDraw = True
41.8480 	DATA 	Keypress: space
41.8611 	EXP 	instructions: autoDraw = False
41.8611 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
41.8611 	EXP 	fixation: autoDraw = True
42.3684 	EXP 	gabor: autoDraw = True
42.8622 	EXP 	fixation: autoDraw = False
42.8622 	EXP 	gabor: autoDraw = False
43.1026 	DATA 	Keypress: up
43.1158 	EXP 	fixation: autoDraw = False
43.1158 	EXP 	gabor: autoDraw = False
43.1158 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
43.1158 	EXP 	fixation: autoDraw = True
43.6230 	EXP 	gabor: autoDraw = True
44.0637 	DATA 	Keypress: up
44.0769 	EXP 	fixation: autoDraw = False
44.0769 	EXP 	gabor: autoDraw = False
44.0769 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
44.0769 	EXP 	fixation: autoDraw = True
