trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,51.9143386434,,,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
0,0.8,0.5,,,1,1.76188915141,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
1,0.8,0.0792446596231,,,1,1.18794496118,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
2,0.8,0.0125594321575,,,0,[],2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
3,0.8,0.0792446596231,,,1,1.09451190523,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
4,0.8,0.0792446596231,,,0,[],2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
5,0.8,0.5,,,1,1.10797065554,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
6,0.8,0.5,,,1,1.16128615496,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
7,0.4,0.5,,,1,0.787557553471,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
8,0.4,0.199053585277,,,1,1.02778082154,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
9,0.4,0.199053585277,,,1,0.98780966732,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
10,0.4,0.199053585277,,,0,[],2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
11,0.4,0.5,,,1,0.547358736098,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
12,0.4,0.5,,,1,0.947703581485,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
13,0.2,0.5,,,1,0.654057351676,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
14,0.2,0.31547867224,,,1,0.573993695343,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
15,0.2,0.31547867224,,,1,0.453845687123,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
16,0.2,0.31547867224,,,1,0.467228066744,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
17,0.2,0.199053585277,,,1,0.65406670935,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
18,0.2,0.199053585277,,,1,0.507242688862,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
19,0.2,0.199053585277,,,1,0.654085424696,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
20,0.2,0.125594321575,,,1,0.507274987933,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
21,0.2,0.125594321575,,,1,0.547317381217,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
22,0.2,0.125594321575,,,1,0.493849442268,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
23,0.2,0.0792446596231,,,1,0.600729777838,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
24,0.2,0.0792446596231,,,1,0.493963243662,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
25,0.2,0.0792446596231,,,1,0.547299571448,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
26,0.2,0.05,,,1,0.480600786832,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
27,0.2,0.05,,,1,0.54734786912,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
28,0.2,0.05,,,1,0.587234804269,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
29,0.2,0.031547867224,,,1,0.547321003542,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
30,0.2,0.031547867224,,,1,0.614058728159,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
31,0.2,0.031547867224,,,1,0.894329822997,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
32,0.2,0.0199053585277,,,1,0.694174606349,2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
33,0.2,0.0199053585277,,,0,[],2016_maj_10_1443,74.9208226651,psychophysicsStaircase,s_seb,10,
