trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,4.37508980351,,,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
0,0.8,0.5,,,1,0.480584933295,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
1,0.8,0.0792446596231,,,1,0.800871652515,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
2,0.8,0.0125594321575,,,1,0.880872244164,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
3,0.8,0.00199053585277,,,0,1.08059586065,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
4,0.8,0.0125594321575,,,1,0.827646079375,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
5,0.8,0.0125594321575,,,0,1.73520973875,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
6,0.8,0.0792446596231,,,1,0.667447177424,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
7,0.8,0.0792446596231,,,1,0.840890512765,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
8,0.4,0.0792446596231,,,1,0.667450497891,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
9,0.4,0.031547867224,,,1,0.624490006605,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
10,0.4,0.031547867224,,,1,0.560250157876,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
11,0.4,0.031547867224,,,1,0.507280574548,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
12,0.4,0.0125594321575,,,1,0.680806921544,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
13,0.4,0.0125594321575,,,1,0.640783231524,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
14,0.4,0.0125594321575,,,1,0.587668453278,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
15,0.4,0.005,,,1,0.627452164161,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
16,0.4,0.005,,,0,0.627386358559,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
17,0.4,0.0125594321575,,,1,1.04114329079,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
18,0.4,0.0125594321575,,,1,0.600665662882,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
19,0.2,0.0125594321575,,,1,0.560627483555,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
20,0.2,0.00792446596231,,,1,0.627352248321,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
21,0.2,0.00792446596231,,,1,0.627430128337,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
22,0.2,0.00792446596231,,,1,0.587435416935,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
23,0.2,0.005,,,1,0.653712220643,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
24,0.2,0.005,,,1,0.6139710721,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
25,0.2,0.005,,,1,0.64069539011,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
26,0.2,0.0031547867224,,,1,0.880982725124,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
27,0.2,0.0031547867224,,,0,0.467266242213,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
28,0.2,0.005,,,0,0.387153358442,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
29,0.2,0.00792446596231,,,1,0.894326470632,2016_maj_18_1330,74.9270697863,psychophysicsStaircase,s_testEma,10,
