1.3851 	WARNING 	Movie2 stim could not be imported and won't be available
12.9877 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x03B69468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.9878 	EXP 	window1: recordFrameIntervals = False
13.1206 	EXP 	window1: recordFrameIntervals = True
13.2675 	EXP 	window1: recordFrameIntervals = False
13.3855 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.3875 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
13.3908 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
13.4008 	EXP 	instructions: autoDraw = True
17.7659 	DATA 	Keypress: space
17.7791 	EXP 	instructions: autoDraw = False
17.7791 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
17.7791 	EXP 	fixation: autoDraw = True
18.2863 	EXP 	gabor: autoDraw = True
18.7536 	DATA 	Keypress: up
18.7668 	EXP 	fixation: autoDraw = False
18.7668 	EXP 	gabor: autoDraw = False
18.7668 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
18.7668 	EXP 	fixation: autoDraw = True
19.2740 	EXP 	gabor: autoDraw = True
19.7678 	EXP 	fixation: autoDraw = False
19.7678 	EXP 	gabor: autoDraw = False
20.0616 	DATA 	Keypress: up
20.0748 	EXP 	fixation: autoDraw = False
20.0748 	EXP 	gabor: autoDraw = False
20.0748 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
20.0748 	EXP 	fixation: autoDraw = True
20.5820 	EXP 	gabor: autoDraw = True
21.0759 	EXP 	fixation: autoDraw = False
21.0759 	EXP 	gabor: autoDraw = False
21.4368 	DATA 	Keypress: up
21.4629 	EXP 	fixation: autoDraw = False
21.4629 	EXP 	gabor: autoDraw = False
21.4629 	EXP 	gabor: color = '[ 0.00199054  0.00199054  0.00199054] (rgb)'
21.4629 	EXP 	fixation: autoDraw = True
21.9701 	EXP 	gabor: autoDraw = True
22.4640 	EXP 	fixation: autoDraw = False
22.4640 	EXP 	gabor: autoDraw = False
23.0381 	DATA 	Keypress: down
23.0513 	EXP 	fixation: autoDraw = False
23.0513 	EXP 	gabor: autoDraw = False
23.0513 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
23.0513 	EXP 	fixation: autoDraw = True
23.5585 	EXP 	gabor: autoDraw = True
24.0523 	EXP 	fixation: autoDraw = False
24.0523 	EXP 	gabor: autoDraw = False
24.3729 	DATA 	Keypress: up
24.3860 	EXP 	fixation: autoDraw = False
24.3860 	EXP 	gabor: autoDraw = False
24.3860 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
24.3860 	EXP 	fixation: autoDraw = True
24.8932 	EXP 	gabor: autoDraw = True
25.3870 	EXP 	fixation: autoDraw = False
25.3870 	EXP 	gabor: autoDraw = False
26.6152 	DATA 	Keypress: down
26.6284 	EXP 	fixation: autoDraw = False
26.6284 	EXP 	gabor: autoDraw = False
26.6284 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
26.6284 	EXP 	fixation: autoDraw = True
27.1356 	EXP 	gabor: autoDraw = True
27.6294 	EXP 	fixation: autoDraw = False
27.6294 	EXP 	gabor: autoDraw = False
27.7898 	DATA 	Keypress: up
27.8030 	EXP 	fixation: autoDraw = False
27.8030 	EXP 	gabor: autoDraw = False
