trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,down,77.5546216991,,,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
0,0.8,0.5,,,1,0.627382209415,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
1,0.8,0.0792446596231,,,1,0.534026948919,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
2,0.8,0.0125594321575,,,1,0.614073169832,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
3,0.8,0.00199053585277,,,1,0.614064717734,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
4,0.8,0.00031547867224,,,1,0.881206332071,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
5,0.8,5e-05,,,0,0.707546156014,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
6,0.8,0.00031547867224,,,0,0.840972220964,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
7,0.8,0.00199053585277,,,1,0.787489140559,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
8,0.8,0.00199053585277,,,1,0.734092694185,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
9,0.4,0.00199053585277,,,1,0.760788351557,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
10,0.4,0.000792446596231,,,0,1.54830103725,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
11,0.4,0.00199053585277,,,1,0.961075360739,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
12,0.4,0.00199053585277,,,1,1.18793305695,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
13,0.2,0.00199053585277,,,1,0.907719665562,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
14,0.2,0.00125594321575,,,1,0.98790776102,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
15,0.2,0.00125594321575,,,1,1.00137467376,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
16,0.2,0.00125594321575,,,1,1.61502010694,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
17,0.2,0.000792446596231,,,0,1.86875578441,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
18,0.2,0.00125594321575,,,1,0.787427862833,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
19,0.2,0.00125594321575,,,1,0.880973295589,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
20,0.2,0.00125594321575,,,0,1.92203359951,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
21,0.2,0.00199053585277,,,1,0.800898397903,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
22,0.2,0.00199053585277,,,1,1.00109937678,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
23,0.2,0.00199053585277,,,1,0.840910037654,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
24,0.2,0.00125594321575,,,1,0.747309666245,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
25,0.2,0.00125594321575,,,1,0.827619109716,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
26,0.2,0.00125594321575,,,1,0.840944449777,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
27,0.2,0.000792446596231,,,0,1.00112050703,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
28,0.2,0.00125594321575,,,1,1.88203916582,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
29,0.2,0.00125594321575,,,1,0.961077171904,2016_maj_11_1405,75.3239731251,psychophysicsStaircase,s_thomas1,10,
