trials.thisTrialN,trials.stepSize,trials.intensity,ready.keys,ready.rt,trials.response,resp.rt,date,frameRate,expName,participant,ori,
,,,space,27.9104821552,,,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
0,0.8,0.5,,,1,0.987768323517,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
1,0.8,0.0792446596231,,,1,0.54727371957,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
2,0.8,0.0125594321575,,,0,0.894372782836,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
3,0.8,0.0792446596231,,,1,0.25367333657,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
4,0.8,0.0792446596231,,,0,0.373837838295,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
5,0.8,0.5,,,1,0.547316885575,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
6,0.8,0.5,,,1,0.467230058513,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
7,0.4,0.5,,,1,0.347093931645,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
8,0.4,0.199053585277,,,1,0.333758654331,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
9,0.4,0.199053585277,,,1,0.400516543145,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
10,0.4,0.199053585277,,,1,0.400533145456,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
11,0.4,0.0792446596231,,,1,0.41383853861,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
12,0.4,0.0792446596231,,,0,0.24032870159,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
13,0.4,0.199053585277,,,1,0.0267710740663,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
14,0.4,0.199053585277,,,1,0.574048114098,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
15,0.2,0.199053585277,,,1,0.333674435341,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
16,0.2,0.125594321575,,,1,0.307018973724,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
17,0.2,0.125594321575,,,1,0.360505277723,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
18,0.2,0.125594321575,,,1,0.307069384374,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
19,0.2,0.0792446596231,,,1,0.347170000411,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
20,0.2,0.0792446596231,,,1,0.427273429784,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
21,0.2,0.0792446596231,,,1,0.333704621358,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
22,0.2,0.05,,,1,0.347639392995,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
23,0.2,0.05,,,1,0.413850613018,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
24,0.2,0.05,,,1,0.320446016533,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
25,0.2,0.031547867224,,,1,0.42723448982,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
26,0.2,0.031547867224,,,1,0.493960079594,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
27,0.2,0.031547867224,,,1,0.413853933479,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
28,0.2,0.0199053585277,,,1,0.493968531679,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
29,0.2,0.0199053585277,,,0,0.440481623959,2016_maj_24_1052,74.9166547938,psychophysicsStaircase,s_tonya,10,
