2.8732 	WARNING 	Movie2 stim could not be imported and won't be available
13.8692 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x04DFC468>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.8692 	EXP 	window1: recordFrameIntervals = False
14.0020 	EXP 	window1: recordFrameIntervals = True
14.1490 	EXP 	window1: recordFrameIntervals = False
14.4343 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.4372 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 3.,  3.]), tex=None, texRes=128, units='pix', win=Window(...))
14.4416 	EXP 	Created gabor = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='gabor', opacity=1.0, ori=10.0, phase=array([ 1.,  1.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 0.1,  0.1]), size=array([ 128.,  128.]), tex='sin', texRes=128, units='pix', win=Window(...))
14.4561 	EXP 	instructions: autoDraw = True
42.3522 	DATA 	Keypress: space
42.3654 	EXP 	instructions: autoDraw = False
42.3654 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
42.3654 	EXP 	fixation: autoDraw = True
42.8726 	EXP 	gabor: autoDraw = True
43.3665 	EXP 	fixation: autoDraw = False
43.3665 	EXP 	gabor: autoDraw = False
43.8471 	DATA 	Keypress: up
43.8603 	EXP 	fixation: autoDraw = False
43.8603 	EXP 	gabor: autoDraw = False
43.8603 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
43.8603 	EXP 	fixation: autoDraw = True
44.3675 	EXP 	gabor: autoDraw = True
44.8614 	EXP 	fixation: autoDraw = False
44.8614 	EXP 	gabor: autoDraw = False
44.9016 	DATA 	Keypress: up
44.9148 	EXP 	fixation: autoDraw = False
44.9148 	EXP 	gabor: autoDraw = False
44.9148 	EXP 	gabor: color = '[ 0.01255943  0.01255943  0.01255943] (rgb)'
44.9148 	EXP 	fixation: autoDraw = True
45.4220 	EXP 	gabor: autoDraw = True
45.9158 	EXP 	fixation: autoDraw = False
45.9158 	EXP 	gabor: autoDraw = False
46.3031 	DATA 	Keypress: down
46.3162 	EXP 	fixation: autoDraw = False
46.3162 	EXP 	gabor: autoDraw = False
46.3162 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
46.3162 	EXP 	fixation: autoDraw = True
46.8235 	EXP 	gabor: autoDraw = True
47.0639 	DATA 	Keypress: up
47.0770 	EXP 	fixation: autoDraw = False
47.0770 	EXP 	gabor: autoDraw = False
47.0770 	EXP 	gabor: color = '[ 0.07924466  0.07924466  0.07924466] (rgb)'
47.0770 	EXP 	fixation: autoDraw = True
47.5842 	EXP 	gabor: autoDraw = True
47.9448 	DATA 	Keypress: down
47.9580 	EXP 	fixation: autoDraw = False
47.9580 	EXP 	gabor: autoDraw = False
47.9580 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
47.9580 	EXP 	fixation: autoDraw = True
48.4652 	EXP 	gabor: autoDraw = True
48.9590 	EXP 	fixation: autoDraw = False
48.9590 	EXP 	gabor: autoDraw = False
48.9992 	DATA 	Keypress: up
49.0124 	EXP 	fixation: autoDraw = False
49.0124 	EXP 	gabor: autoDraw = False
49.0124 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
49.0124 	EXP 	fixation: autoDraw = True
49.5196 	EXP 	gabor: autoDraw = True
49.9736 	DATA 	Keypress: up
49.9868 	EXP 	fixation: autoDraw = False
49.9868 	EXP 	gabor: autoDraw = False
49.9868 	EXP 	gabor: color = '[ 0.5  0.5  0.5] (rgb)'
49.9868 	EXP 	fixation: autoDraw = True
50.4940 	EXP 	gabor: autoDraw = True
50.8278 	DATA 	Keypress: up
50.8410 	EXP 	fixation: autoDraw = False
50.8410 	EXP 	gabor: autoDraw = False
50.8410 	EXP 	gabor: color = '[ 0.19905359  0.19905359  0.19905359] (rgb)'
50.8410 	EXP 	fixation: autoDraw = True
51.3482 	EXP 	gabor: autoDraw = True
51.6687 	DATA 	Keypress: up
51.6819 	EXP 	fixation: autoDraw = False
51.6819 	EXP 	gabor: autoDraw = False
51.6819 	EXP 	gabor: color = '[ 0.19905359  0.19905359  0.19905359] (rgb)'
51.6819 	EXP 	fixation: autoDraw = True
52.1891 	EXP 	gabor: autoDraw = True
52.5764 	DATA 	Keypress: up
52.5895 	EXP 	fixation: autoDraw = False
52.5895 	EXP 	gabor: autoDraw = False
