1.3527 	WARNING 	Movie2 stim could not be imported and won't be available
7.3275 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x03F8D2B0>, name='window1', pos=[0, 0], screen=0, size=array([3440, 1440]), stereo=False, units='deg', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3275 	EXP 	window1: recordFrameIntervals = False
7.4603 	EXP 	window1: recordFrameIntervals = True
7.6072 	EXP 	window1: recordFrameIntervals = False
7.7247 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units='deg', win=Window(...), wrapWidth=15.0)
7.7282 	EXP 	Created grating = GratingStim(autoDraw=False, autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 4.,  4.]), tex='sin', texRes=128, units='deg', win=Window(...))
7.7303 	EXP 	Created fixation = GratingStim(autoDraw=False, autoLog=True, color='black', colorSpace='named', contrast=1.0, depth=-4.0, interpolate=True, mask='gauss', maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 1.,  1.]), tex=None, texRes=128, units='deg', win=Window(...))
7.7461 	EXP 	Created thanksMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='thanksMsg', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u"You're done! Fun, wasn't it!? ;-)", units='deg', win=Window(...), wrapWidth=15.0)
7.7539 	EXP 	instrText: autoDraw = True
26.2402 	DATA 	Keypress: up
26.2469 	EXP 	Imported stairDefinitions.xlsx as conditions, 4 conditions, 6 params
26.2876 	EXP 	window1: recordFrameIntervals = False
26.2934 	EXP 	instrText: autoDraw = False
26.2934 	EXP 	grating: color = '[ 0.1  0.1  0.1] (rgb)'
26.2934 	EXP 	grating: pos = array([ 5.,  0.])
26.2934 	EXP 	grating: sf = array([ 2.,  2.])
26.2935 	EXP 	window1: recordFrameIntervals = False
26.5604 	EXP 	fixation: autoDraw = True
26.8006 	EXP 	grating: autoDraw = True
26.9340 	EXP 	grating: autoDraw = False
27.9086 	DATA 	Keypress: right
27.9096 	EXP 	window1: recordFrameIntervals = False
27.9217 	EXP 	grating: autoDraw = False
27.9217 	EXP 	fixation: autoDraw = False
27.9217 	EXP 	grating: color = '[ 0.1  0.1  0.1] (rgb)'
27.9217 	EXP 	grating: pos = array([ 5.,  0.])
27.9217 	EXP 	grating: sf = array([ 8.,  8.])
27.9218 	EXP 	window1: recordFrameIntervals = False
28.1887 	EXP 	fixation: autoDraw = True
28.4290 	EXP 	grating: autoDraw = True
28.5625 	EXP 	grating: autoDraw = False
29.3635 	DATA 	Keypress: right
29.3645 	EXP 	window1: recordFrameIntervals = False
29.3767 	EXP 	grating: autoDraw = False
29.3767 	EXP 	fixation: autoDraw = False
29.3767 	EXP 	grating: color = '[ 0.001  0.001  0.001] (rgb)'
29.3767 	EXP 	grating: pos = array([-5.,  0.])
29.3767 	EXP 	grating: sf = array([ 8.,  8.])
29.3767 	EXP 	window1: recordFrameIntervals = False
29.6436 	EXP 	fixation: autoDraw = True
29.8839 	EXP 	grating: autoDraw = True
30.0174 	EXP 	grating: autoDraw = False
31.4990 	DATA 	Keypress: left
31.5045 	EXP 	window1: recordFrameIntervals = False
31.5122 	EXP 	grating: autoDraw = False
31.5122 	EXP 	fixation: autoDraw = False
31.5122 	EXP 	grating: color = '[ 0.001  0.001  0.001] (rgb)'
31.5122 	EXP 	grating: pos = array([-5.,  0.])
31.5122 	EXP 	grating: sf = array([ 2.,  2.])
31.5122 	EXP 	window1: recordFrameIntervals = False
31.7792 	EXP 	fixation: autoDraw = True
32.0194 	EXP 	grating: autoDraw = True
32.1529 	EXP 	grating: autoDraw = False
33.2208 	DATA 	Keypress: right
33.2218 	EXP 	window1: recordFrameIntervals = False
33.2340 	EXP 	grating: autoDraw = False
33.2340 	EXP 	fixation: autoDraw = False
33.2340 	EXP 	grating: color = '[ 0.00063096  0.00063096  0.00063096] (rgb)'
33.2340 	EXP 	grating: pos = array([-5.,  0.])
33.2340 	EXP 	grating: sf = array([ 8.,  8.])
33.2341 	EXP 	window1: recordFrameIntervals = False
33.4877 	EXP 	fixation: autoDraw = True
33.7412 	EXP 	grating: autoDraw = True
33.8747 	EXP 	grating: autoDraw = False
34.6223 	DATA 	Keypress: right
34.6233 	EXP 	window1: recordFrameIntervals = False
34.6355 	EXP 	grating: autoDraw = False
34.6355 	EXP 	fixation: autoDraw = False
34.6355 	EXP 	grating: color = '[ 0.06309573  0.06309573  0.06309573] (rgb)'
34.6355 	EXP 	grating: pos = array([-5.,  0.])
34.6355 	EXP 	grating: sf = array([ 2.,  2.])
34.6355 	EXP 	window1: recordFrameIntervals = False
34.9024 	EXP 	fixation: autoDraw = True
35.1427 	EXP 	grating: autoDraw = True
35.2762 	EXP 	grating: autoDraw = False
36.1572 	DATA 	Keypress: left
36.1582 	EXP 	window1: recordFrameIntervals = False
36.1705 	EXP 	grating: autoDraw = False
36.1705 	EXP 	fixation: autoDraw = False
36.1705 	EXP 	grating: color = '[ 0.00158489  0.00158489  0.00158489] (rgb)'
36.1705 	EXP 	grating: pos = array([-5.,  0.])
36.1705 	EXP 	grating: sf = array([ 2.,  2.])
36.1705 	EXP 	window1: recordFrameIntervals = False
36.4374 	EXP 	fixation: autoDraw = True
36.6777 	EXP 	grating: autoDraw = True
36.8112 	EXP 	grating: autoDraw = False
38.5465 	DATA 	Keypress: right
38.5475 	EXP 	window1: recordFrameIntervals = False
38.5596 	EXP 	grating: autoDraw = False
38.5596 	EXP 	fixation: autoDraw = False
38.5596 	EXP 	grating: color = '[ 0.06309573  0.06309573  0.06309573] (rgb)'
38.5596 	EXP 	grating: pos = array([ 5.,  0.])
38.5596 	EXP 	grating: sf = array([ 8.,  8.])
38.5597 	EXP 	window1: recordFrameIntervals = False
38.8132 	EXP 	fixation: autoDraw = True
39.0668 	EXP 	grating: autoDraw = True
39.2003 	EXP 	grating: autoDraw = False
40.2282 	DATA 	Keypress: right
40.2292 	EXP 	window1: recordFrameIntervals = False
40.2414 	EXP 	grating: autoDraw = False
40.2414 	EXP 	fixation: autoDraw = False
40.2414 	EXP 	grating: color = '[ 0.00251189  0.00251189  0.00251189] (rgb)'
40.2414 	EXP 	grating: pos = array([-5.,  0.])
40.2414 	EXP 	grating: sf = array([ 2.,  2.])
40.2415 	EXP 	window1: recordFrameIntervals = False
40.4950 	EXP 	fixation: autoDraw = True
40.7486 	EXP 	grating: autoDraw = True
40.8821 	EXP 	grating: autoDraw = False
41.6163 	DATA 	Keypress: right
41.6173 	EXP 	window1: recordFrameIntervals = False
41.6295 	EXP 	grating: autoDraw = False
41.6295 	EXP 	fixation: autoDraw = False
41.6295 	EXP 	grating: color = '[ 0.03981072  0.03981072  0.03981072] (rgb)'
41.6295 	EXP 	grating: pos = array([-5.,  0.])
41.6295 	EXP 	grating: sf = array([ 2.,  2.])
41.6296 	EXP 	window1: recordFrameIntervals = False
41.8831 	EXP 	fixation: autoDraw = True
42.1367 	EXP 	grating: autoDraw = True
42.2702 	EXP 	grating: autoDraw = False
43.2313 	DATA 	Keypress: left
43.2324 	EXP 	window1: recordFrameIntervals = False
43.2445 	EXP 	grating: autoDraw = False
43.2445 	EXP 	fixation: autoDraw = False
43.2445 	EXP 	grating: color = '[ 0.00079433  0.00079433  0.00079433] (rgb)'
43.2445 	EXP 	grating: pos = array([ 5.,  0.])
43.2445 	EXP 	grating: sf = array([ 8.,  8.])
43.2446 	EXP 	window1: recordFrameIntervals = False
43.4981 	EXP 	fixation: autoDraw = True
43.7517 	EXP 	grating: autoDraw = True
43.8852 	EXP 	grating: autoDraw = False
44.8464 	DATA 	Keypress: right
44.8474 	EXP 	window1: recordFrameIntervals = False
44.8596 	EXP 	grating: autoDraw = False
44.8596 	EXP 	fixation: autoDraw = False
44.8596 	EXP 	grating: color = '[ 0.03981072  0.03981072  0.03981072] (rgb)'
44.8596 	EXP 	grating: pos = array([-5.,  0.])
44.8596 	EXP 	grating: sf = array([ 8.,  8.])
44.8596 	EXP 	window1: recordFrameIntervals = False
45.1132 	EXP 	fixation: autoDraw = True
45.3668 	EXP 	grating: autoDraw = True
45.5003 	EXP 	grating: autoDraw = False
46.5014 	DATA 	Keypress: left
46.5024 	EXP 	window1: recordFrameIntervals = False
46.5146 	EXP 	grating: autoDraw = False
46.5146 	EXP 	fixation: autoDraw = False
46.5146 	EXP 	grating: color = '[ 0.00398107  0.00398107  0.00398107] (rgb)'
46.5146 	EXP 	grating: pos = array([-5.,  0.])
46.5146 	EXP 	grating: sf = array([ 2.,  2.])
46.5147 	EXP 	window1: recordFrameIntervals = False
